15.0,1.5,400,400.0,1000.0,31796229,0,0,0,400
17.0,1.7,400,400.0,1000.0,30713892,0,0,0,400
19.0,1.9,400,400.0,1000.0,30953996,0,0,0,400
21.0,2.1000001,400,399.999,1000.0,30652110,0,0,0,400
23.0,2.3,400,399.999,1000.0,30793079,0,0,0,400
25.0,2.5,400,400.0,1000.0,31101857,0,0,0,400
27.0,2.7,400,399.999,1000.0,32149576,0,0,0,400
29.0,2.9,400,399.998,1000.0,31959347,0,0,0,400
31.0,3.1000001,400,399.998,1000.0,30911995,0,0,0,400
33.0,3.3,400,399.999,1000.0,31342020,0,0,0,400
35.0,3.5,400,399.997,1000.0,30883174,0,0,0,400
37.0,3.7,400,399.997,1000.0,30911936,0,0,0,400
39.0,3.9,400,399.995,1000.0,30917736,0,0,0,400
41.0,4.1,400,399.992,999.978,31175749,1,3.1622776601683795,1,400
43.0,4.3,400,399.998,1000.0,31879016,0,0,0,400
45.0,4.5,400,399.989,1000.0,31291226,0,0,0,400
47.0,4.7000003,400,399.995,1000.0,31030996,0,0,0,400
49.0,4.9,400,399.989,999.969,31057522,1,3.605551275463989,1,400
51.0,5.1,400,399.986,1000.0,31069197,0,0,0,400
53.0,5.3,400,399.99,1000.0,31133311,0,0,0,400
55.0,5.5,400,399.992,1000.0,31125843,0,0,0,400
57.0,5.7000003,400,399.985,999.941,32341154,1,5.0,1,400
59.0,5.9,400,399.987,999.834,31318389,3,4.070367516975993,1,400
61.0,6.1,400,399.983,999.951,31250406,1,6.082762530298219,1,400
63.0,6.3,400,399.989,999.821,31327683,3,4.070367516975993,1,400
65.0,6.5,400,399.979,999.808,31741752,3,5.336225170965612,1,400
67.0,6.7000003,400,399.98,999.827,31522578,4,4.804029175494952,1,400
69.0,6.9,400,399.969,999.887,31719501,2,5.99070478491457,1,400
71.0,7.1,400,399.976,999.89,31264727,2,5.854860063735631,1,400
73.0,7.3,400,399.971,999.538,31343050,7,5.667220161974496,1,400
75.0,7.5,400,399.97,999.765,31317668,4,6.6195964156251135,1,400
15.0,3.0,400,399.998,1000.0,30920642,0,0,0,400
17.0,3.4,400,399.996,1000.0,31035753,0,0,0,400
19.0,3.8,400,399.996,1000.0,32566755,0,0,0,400
21.0,4.2000003,400,399.993,999.984,31239458,1,3.0,1,400
23.0,4.6,400,399.996,1000.0,31092634,0,0,0,400
