15,0.1,0
17,0.1,0
19,0.1,0
21,0.100000005,0
23,0.1,0.001
25,0.1,0.001
27,0.1,0
29,0.1,0
31,0.100000003,0
33,0.1,0.003
35,0.1,0.001
37,0.1,0.002
39,0.1,0.003
41,0.1,0.003
43,0.1,0.002
45,0.1,0.001
47,0.100000006,0.004
49,0.1,0.001
51,0.1,0.005
53,0.1,0.002
55,0.1,0.005
57,0.100000005,0.006
59,0.1,0.003
61,0.1,0.008
63,0.1,0.005
65,0.1,0.005
67,0.100000004,0.008
69,0.1,0.004
71,0.1,0.011
73,0.1,0.012
75,0.1,0.01
15,0.2,0
17,0.2,0.001
19,0.2,0
21,0.200000014,0
23,0.2,0.003
25,0.2,0.003
27,0.2,0.002
29,0.2,0.001
31,0.20000001,0.004
33,0.2,0.005
35,0.2,0.006
37,0.2,0.003
39,0.2,0.003
41,0.2,0.004
43,0.2,0.008
45,0.2,0.005
47,0.200000021,0.007
49,0.2,0.007
51,0.2,0.01
53,0.2,0.008
55,0.2,0.009
57,0.200000018,0.022
59,0.2,0.02
61,0.2,0.018
63,0.2,0.027
65,0.2,0.031
67,0.200000015,0.032
69,0.2,0.028
71,0.2,0.028
73,0.2,0.028
75,0.2,0.035
15,0.3,0
17,0.300000024,0.002
19,0.300000016,0
21,0.3,0.002
23,0.3,0.003
25,0.30000002,0.002
27,0.3,0.003
29,0.300000034,0.006
31,0.3,0.006
33,0.30000003,0.007
35,0.3,0.008
37,0.3,0.011
39,0.300000026,0.018
41,0.3,0.016
43,0.300000023,0.021
45,0.300000022,0.024
47,0.3,0.024
49,0.30000002,0.031
51,0.3,0.028
53,0.300000019,0.033
55,0.3,0.033
57,0.3,0.028
59,0.3,0.036
61,0.300000016,0.044
63,0.300000032,0.062
65,0.3,0.045
67,0.3,0.057
69,0.3,0.057
71,0.300000014,0.08
73,0.300000027,0.072
75,0.3,0.076
15,0.4,0
17,0.4,0.003
19,0.4,0.004
21,0.400000048,0.002
23,0.4,0.002
25,0.4,0.006
27,0.4,0.007
29,0.4,0.008
31,0.400000032,0.015
33,0.4,0.012
35,0.4,0.019
37,0.4,0.019
39,0.4,0.016
41,0.4,0.021
43,0.4,0.027
45,0.4,0.018
47,0.400000021,0.029
49,0.4,0.037
51,0.4,0.045
53,0.4,0.038
55,0.4,0.048
57,0.400000018,0.048
59,0.4,0.062
61,0.4,0.084
63,0.4,0.073
65,0.4,0.066
67,0.400000015,0.092
69,0.4,0.109
71,0.4,0.101
73,0.4,0.082
75,0.4,0.11
15,0.5,0.004
17,0.5,0.003
19,0.5,0.007
21,0.5,0.006
23,0.5,0.007
25,0.5,0.012
27,0.5,0.009
29,0.5,0.02
31,0.5,0.013
33,0.5,0.02
35,0.5,0.023
37,0.5,0.034
39,0.5,0.031
41,0.5,0.04
43,0.5,0.04
45,0.5,0.043
47,0.5,0.048
49,0.5,0.053
51,0.5,0.073
53,0.5,0.086
55,0.5,0.061
57,0.5,0.083
59,0.5,0.104
61,0.5,0.116
63,0.5,0.103
65,0.5,0.109
67,0.5,0.122
69,0.5,0.141
71,0.5,0.159
73,0.5,0.148
75,0.5,0.166
15,0.6,0.003
17,0.600000059,0.005
19,0.600000053,0.006
21,0.6,0.006
23,0.6,0.007
25,0.60000004,0.011
27,0.6,0.014
29,0.600000069,0.027
31,0.6,0.025
33,0.60000003,0.032
35,0.6,0.017
37,0.6,0.039
39,0.600000051,0.06
41,0.6,0.051
43,0.600000023,0.057
45,0.600000044,0.069
47,0.6,0.066
49,0.600000041,0.085
51,0.6,0.105
53,0.600000019,0.075
55,0.6,0.122
57,0.6,0.127
59,0.6,0.134
61,0.600000033,0.154
63,0.600000048,0.153
65,0.6,0.174
67,0.6,0.197
69,0.6,0.187
71,0.600000028,0.223
73,0.600000041,0.201
75,0.6,0.257
15,0.700000067,0.004
17,0.700000059,0.011
19,0.700000053,0.009
21,0.700000048,0.015
23,0.7,0.015
25,0.70000008,0.014
27,0.700000074,0.018
29,0.700000034,0.019
31,0.7,0.035
33,0.700000061,0.037
35,0.700000057,0.051
37,0.700000054,0.058
39,0.700000026,0.052
41,0.700000073,0.061
43,0.700000047,0.057
45,0.700000044,0.093
47,0.7,0.092
49,0.700000061,0.119
51,0.7,0.119
53,0.700000038,0.119
55,0.700000073,0.149
57,0.7,0.152
59,0.700000051,0.169
61,0.700000082,0.207
63,0.700000032,0.204
65,0.700000062,0.254
67,0.7,0.267
69,0.700000043,0.323
71,0.70000007,0.353
73,0.700000027,0.38
75,0.700000053,0.464
15,0.800000067,0.006
17,0.800000059,0.008
19,0.800000105,0.007
21,0.800000048,0.011
23,0.800000087,0.016
25,0.80000008,0.029
27,0.800000074,0.025
29,0.800000103,0.035
31,0.800000097,0.04
33,0.800000061,0.048
35,0.800000057,0.046
37,0.800000054,0.06
39,0.800000077,0.087
41,0.800000073,0.077
43,0.8,0.107
45,0.800000089,0.091
47,0.800000043,0.129
49,0.800000102,0.142
51,0.800000059,0.148
53,0.800000094,0.178
55,0.800000073,0.188
57,0.800000035,0.23
59,0.800000085,0.253
61,0.800000049,0.315
63,0.800000079,0.353
65,0.800000062,0.442
67,0.80000009,0.513
69,0.800000072,0.606
71,0.800000099,0.668
73,0.800000068,0.775
75,0.800000053,0.819
15,0.900000133,0.007
17,0.900000059,0.008
19,0.900000105,0.017
21,0.900000095,0.014
23,0.90000013,0.022
25,0.90000008,0.023
27,0.900000111,0.034
