27.0,0,400,400
27.0,1,400,400
27.0,2,399,400
27.0,3,399,400
27.0,4,397,400
27.0,5,396,400
27.0,6,394,400
27.0,7,393,400
27.0,8,392,400
27.0,9,390,400
27.0,10,389,400
27.0,11,388,400
27.0,12,386,400
27.0,13,385,400
27.0,14,384,400
27.0,15,382,400
27.0,16,381,400
27.0,17,380,400
27.0,18,379,400
27.0,19,377,400
27.0,20,376,400
27.0,21,375,400
27.0,22,374,400
27.0,23,373,400
27.0,24,372,400
27.0,25,371,400
27.0,26,370,400
27.0,27,369,400
27.0,28,368,400
27.0,29,367,400
27.0,30,367,400
27.0,31,366,400
27.0,32,365,400
27.0,33,365,400
27.0,34,364,400
27.0,35,363,400
27.0,36,362,400
27.0,37,362,400
27.0,38,362,400
27.0,39,361,400
27.0,40,361,400
27.0,41,360,400
27.0,42,359,400
27.0,43,359,400
27.0,44,358,400
27.0,45,358,400
27.0,46,358,400
27.0,47,357,400
27.0,48,357,400
27.0,49,356,400
27.0,50,356,400
27.0,51,355,400
27.0,52,355,400
27.0,53,354,400
27.0,54,353,400
27.0,55,353,400
27.0,56,353,400
27.0,57,352,400
27.0,58,352,400
27.0,59,351,400
27.0,60,351,400
27.0,61,350,400
27.0,62,350,400
27.0,63,350,400
27.0,64,349,400
27.0,65,349,400
27.0,66,348,400
27.0,67,348,400
27.0,68,348,400
27.0,69,347,400
27.0,70,347,400
27.0,71,346,400
27.0,72,346,400
27.0,73,345,400
27.0,74,345,400
27.0,75,345,400
27.0,76,344,400
27.0,77,344,400
27.0,78,344,400
27.0,79,343,400
27.0,80,343,400
27.0,81,343,400
27.0,82,342,400
27.0,83,342,400
27.0,84,341,400
27.0,85,341,400
27.0,86,341,400
27.0,87,341,400
27.0,88,340,400
27.0,89,340,400
27.0,90,340,400
27.0,91,340,400
27.0,92,340,400
27.0,93,339,400
27.0,94,339,400
27.0,95,339,400
27.0,96,338,400
27.0,97,338,400
27.0,98,337,400
27.0,99,337,400
27.0,100,337,400
27.0,101,336,400
27.0,102,336,400
27.0,103,336,400
27.0,104,336,400
27.0,105,335,400
27.0,106,335,400
27.0,107,335,400
27.0,108,335,400
27.0,109,335,400
27.0,110,334,400
27.0,111,334,400
27.0,112,334,400
27.0,113,333,400
27.0,114,333,400
27.0,115,333,400
27.0,116,333,400
27.0,117,333,400
27.0,118,332,400
27.0,119,332,400
27.0,120,332,400
27.0,121,332,400
27.0,122,332,400
27.0,123,331,400
27.0,124,331,400
27.0,125,331,400
27.0,126,331,400
27.0,127,331,400
27.0,128,330,400
27.0,129,330,400
27.0,130,330,400
27.0,131,330,400
27.0,132,329,400
27.0,133,329,400
27.0,134,329,400
